Encomenda  177110;
2025-07-14;
n/ ref;qnt;qntBonus;v/ ref;ean;descri��o;
015394RP_02;1;0;7098632;3337875803786;La Roche Posay: Lipikar Baume AP+M B�lsamo Ligeiro 400mL;
002207VY_01;20;0;6931931;3337871325787;Vichy: Capital Soleil Bb Emuls�o com Cor Toque Seco 50mL SPF50+;
002043VY_02;5;0;6815258;3337871321994;Vichy: Puret� Thermale Desmaquilhante Integral 3 em 1 300mL;
001897RP_03;8;0;7254227;3337875863988;La Roche Posay: Toleriane Teint Base Fluida 30mL 15 Dor�;
009582VY_03;10;0;6876714;3337871322694;Vichy: Capital Soleil Beach Protect Leite Multiprote��o para Corpo 300mL SPF50+;
006245RP_01;17;0;7468108;3337875549530;La Roche Posay: Anthelios Bruma Fresca Invisivel Pele Oleosa Anti-Brilho 75mL SPF50;
014277VY_02;11;0;7098004;3337875795265;Vichy: Capital Soleil UV-Age Flu�do Aquoso Antifotoenvelhecimento 40mL Light SPF50+;
005336VY_03;14;0;6960336;3337871332310;Vichy: Dermablend 3d Correction Base de Maquilhagem 30mL 35;
007772VE_04;32;0;;3337875905596;CeraVe: Gel Espuma de Limpeza para Rosto e Corpo Pele Normal a Oleosa 473mL Refill;
013665SK_01;3;0;6366765;3606000555075;Skinceuticals: Tripeptide-r Neck Repair Antienvelhecimento Pesco�o e Decote 50mL;
006960RP_01;49;0;7256644;3337875845434;La Roche Posay: Anthelios Wet Skin Gel SPF50 Corpo e Rostoecotube 200 mL 200mL SPF50;
019330VY_01;1;0;7271478;3337875860222;Vichy: Neovadiol Creme de dia 50mL SPF50;
002035RP_01;10;0;6822882;3337872410147;La Roche Posay: Toleriane L�pis Contorno de Olhos Cor Intensa 5g Black;
019342RP_05;19;0;6388041;3337875876407;La Roche Posay: Effaclar + M Gel Purificante 400mL Refill;
015369RP_01;13;0;7089383;3337875798181;La Roche Posay: Anthelios 100 Ka+ Med Creme 50mL;
002045RP_01;7;0;7254243;3337872420269;La Roche Posay: Rosaliac Geleia Micelar Desmaquilhante Antivermelhid�o Rosto e Olhos 195mL;
001862RP_01;8;0;6506014;3337875731409;La Roche Posay: Hydraphase Intense Rico 50mL;
014557RP_01;5;0;6724252;3337875760201;La Roche Posay: Hyalu B5 Aquagel Preven��o Fotoenvelhecimento 50mL SPF30;
009550RP_06;8;0;6255596;3337875656757;La Roche Posay: Lipikar �leo Lavante AP+ para Pele At�pica 750mL;
009550RP_07;13;0;6386953;3337875735759;La Roche Posay: Lipikar �leo Lavante Ap + para Pele At�pica 400mL Refill;
001847RP_02;4;0;6479824;3433422404403;La Roche Posay: �gua Termal 300mL;
005345DE_01;18;0;6974121;3337875486736;Dercos: Shampoo Ultra-Apaziguante para Cabelo Seco 200mL;
007778VE_05;33;0;;3337875905633;CeraVe: Lo��o Hidratante para Rosto e Corpo Pele Seca a Muito Seca 473mL Refill;
022903VY_01;7;0;7523548;3337875912600;Vichy: Liftactiv Collagen Specialist 16 S�rum 30mL;
015513VY_01;1;0;7094375;3337875791984;Vichy: Normaderm S�rum Probio Bha Anti-Imperfei��es 30mL;
012797RP_01;4;0;6354597;3337875696821;La Roche Posay: Anthelios Spray Protector Solar 200mL SPF30;
014264RP_01;23;0;7304824;3337875886307;La Roche Posay: Anthelios Dermo-Pediatrics Flu�do Hidratante 50mL SPF50+;
